i,EXP_start,ID,Gender,Age,Stimulus,Animacy_Rating,Fixation_Start,SOA_Start,Face_Start,Rating_Start,Loop_End,Keypress_time,RT,rating_dur_var,fixation_dur_var,stimuli_dur_var,soa,real_unreal,break_taken_justb4
63,6.501603900000191,testingbreak,F,2,chosen_images\037.png,,246.51798210000015,247.023876199999,247.02388269999938,254.34579230000054,249.86714089999987,,,288,72,100,78,unreal,False
64,6.501603900000191,testingbreak,F,2,chosen_images\NF17kpb.png,,249.8686650999989,250.36770439999964,250.36771079999926,257.66872909999984,253.1831774000002,,,288,72,100,65,unreal,False
65,6.501603900000191,testingbreak,F,2,chosen_images\Queen Wealhtheow.png,,253.18476530000044,253.69077780000043,253.69078699999955,260.998664499999,256.51304639999944,,,288,72,100,76,real,False
66,6.501603900000191,testingbreak,F,2,chosen_images\006.png,,256.5147046000002,257.0205234999994,257.0205301999995,264.3633217000006,259.87767390000045,,,288,72,100,83,unreal,False
67,6.501603900000191,testingbreak,F,2,chosen_images\Doctor Aki Ross.png,,259.8791949999995,260.38517239999965,260.38517879999927,267.70706599999903,263.2145581999994,,,288,72,100,79,real,False
68,6.501603900000191,testingbreak,F,2,chosen_images\119.png,,263.21610789999977,263.7219989000005,263.72200580000026,271.0508738999997,266.5722444000003,,,288,72,100,81,unreal,False
69,6.501603900000191,testingbreak,F,2,chosen_images\Ethan.png,,266.5738369999999,267.0797024000003,267.07970849999947,274.408535999999,269.9299568999995,,,288,72,100,71,real,False
70,6.501603900000191,testingbreak,F,2,chosen_images\083.png,,269.9316196999989,270.43738719999965,270.4373940000005,277.75935369999934,273.29461809999884,,,288,72,100,74,unreal,False
71,6.501603900000191,testingbreak,F,2,chosen_images\Kara.png,,273.2964673000006,273.8090331000003,273.80903989999933,281.1171560999992,276.6314234999991,,,288,72,100,56,real,False
72,6.501603900000191,testingbreak,F,2,chosen_images\022.png,,276.63295649999964,277.1319361999995,277.131942,284.467688499999,280.00308399999994,,,288,72,100,63,unreal,False
73,6.501603900000191,testingbreak,F,2,chosen_images\017.png,,280.00496869999915,280.50358310000047,280.5035891999996,287.8323371000006,283.3677227999997,,,288,72,100,59,unreal,False
74,6.501603900000191,testingbreak,F,2,chosen_images\010.png,,283.3693733,283.87520269999914,283.87520869999935,291.2039697,286.71846580000056,,,288,72,100,54,unreal,False
75,6.501603900000191,testingbreak,F,2,chosen_images\004.png,,286.71993699999985,287.2259715,287.2259777999989,294.5269241999995,290.0483587999988,,,288,72,100,58,unreal,False
76,6.501603900000191,testingbreak,F,2,chosen_images\Ethan.png,,290.05003170000055,290.54884909999964,290.5488542999992,297.8707696999991,293.38518639999893,,,288,72,100,45,real,False
77,6.501603900000191,testingbreak,F,2,chosen_images\Sims31.png,,293.3867876000004,293.8926940000001,293.8927021999989,301.2076077999991,296.7220828999998,,,288,72,100,55,unreal,False
78,6.501603900000191,testingbreak,F,2,chosen_images\139.png,,296.7242250999989,297.2294913000005,297.2294973999997,304.55139880000024,300.0866914999988,,,288,72,100,47,unreal,False
79,6.501603900000191,testingbreak,F,2,chosen_images\036.png,,300.0882311999994,300.59416539999984,300.5941724000004,307.9021150000008,303.4304773999993,,,288,72,100,66,unreal,False
